"id","subdistrict_id","postcode"
"677","438","40237"
"675","438","40238"
"674","438","40239"
"680","439","40122"
"682","439","40123"
"681","439","40124"
"679","439","40191"
"683","440","40121"
"684","440","40124"
"685","440","40125"
"686","440","40192"
"690","441","40171"
"687","441","40172"
"689","441","40173"
"688","441","40174"
"691","441","40175"
"692","442","40131"
"694","442","40132"
"695","442","40133"
"696","442","40134"
"693","442","40135"
"698","443","40281"
"699","443","40282"
"697","443","40283"
"700","443","40284"
"701","443","40285"
"703","444","40286"
"702","444","40287"
"704","445","40292"
"705","445","40295"
"707","446","40251"
"708","446","40252"
"709","446","40253"
"706","446","40254"
"710","446","40255"
"712","447","40161"
"711","447","40162"
"713","447","40163"
"714","447","40164"
"716","448","40111"
"717","448","40112"
"718","448","40113"
"715","448","40117"
"719","449","40294"
"720","450","40294"
"721","451","40195"
"722","452","40614"
"727","453","40911"
"724","453","40912"
"726","453","40913"
"723","453","40914"
"725","453","40915"
"728","454","40379"
"730","455","40258"
"729","455","40375"
"731","456","40377"
"733","457","40287"
"732","457","40288"
"734","458","40238"
"735","459","40395"
"736","460","40396"
"737","461","40615"
"741","461","40616"
"739","461","40617"
"738","461","40618"
"740","461","40619"
"744","462","40621"
"745","462","40622"
"746","462","40623"
"747","462","40624"
"743","462","40625"
"742","462","40626"
"748","463","40374"
"749","463","40375"
"750","464","40191"
"753","464","40193"
"755","464","40195"
"754","464","40196"
"752","464","40197"
"751","464","40198"
"756","465","40381"
"757","466","40973"
"759","467","40238"
"758","467","40239"
"762","467","40256"
"760","467","40257"
"761","467","40258"
"763","467","40267"
"764","468","40384"
"765","469","40386"
"766","470","40921"
"767","471","40382"
"768","472","40214"
"770","472","40215"
"769","472","40216"
"772","472","40217"
"771","472","40218"
"774","473","40225"
"773","473","40226"
"776","473","40227"
"775","473","40228"
"777","473","40229"
"778","474","40215"
"779","475","40385"
"780","476","40376"
"781","477","40378"
"782","478","40383"
"783","479","40972"
"784","480","40973"
"785","481","40394"
"786","482","40376"
"787","483","40911"
"788","484","40531"
"790","484","40532"
"792","484","40533"
"791","484","40534"
"789","484","40535"
"793","485","40521"
"794","485","40522"
"796","485","40523"
"798","485","40524"
"795","485","40525"
"797","485","40526"
"800","486","40511"
"801","486","40512"
"799","486","40513"
"802","486","40514"
"803","487","45392"
"804","488","45375"
"805","489","45353"
"806","490","45364"
"807","491","45391"
"808","492","45372"
"809","493","45356"
"810","494","45365"
"811","495","45381"
"812","496","45361"
"813","497","45371"
"814","498","45366"
"815","499","45393"
"816","500","45354"
"817","501","45362"
"818","502","45382"
"819","503","45383"
"820","504","45373"
"821","505","45363"
"822","506","45355"
"823","507","45363"
"824","508","45377"
"825","509","45376"
"826","510","45311"
"828","510","45313"
"829","510","45314"
"827","510","45315"
"830","511","45321"
"831","511","45322"
"832","511","45323"
"833","512","45354"
"834","513","44172"
"835","514","44191"
"836","515","44162"
"837","516","44186"
"838","517","44165"
"839","518","44185"
"840","519","44176"
"841","520","44193"
"842","521","44177"
"843","522","44171"
"844","523","44181"
"845","524","44174"
"846","525","44163"
"847","526","44166"
"848","527","44153"
"849","528","44182"
"850","529","44119"
"851","529","44152"
"852","530","44192"
"853","531","44188"
"854","532","44164"
"855","533","44175"
"857","534","44164"
"856","534","44168"
"858","535","44178"
"859","536","44161"
"860","537","44187"
"861","538","44173"
"862","539","44184"
"863","540","44167"
"864","541","44183"
"865","542","44166"
"866","543","44184"
"867","544","44163"
"868","545","44116"
"869","546","44173"
"870","547","44185"
"871","548","44165"
"872","549","44183"
"873","550","44161"
"874","551","44115"
"875","552","44151"
"876","553","44151"
"880","554","44111"
"879","554","44112"
"877","554","44113"
"884","554","44114"
"878","554","44115"
"885","554","44116"
"882","554","44117"
"883","554","44118"
"881","554","44119"
"888","555","41111"
"893","555","41112"
"886","555","41113"
"891","555","41114"
"890","555","41115"
"894","555","41116"
"889","555","41117"
"887","555","41118"
"892","555","41119"
"896","556","41152"
"895","556","41161"
"897","557","41181"
"899","558","41171"
"898","558","41172"
"900","559","41151"
"901","560","41181"
"902","561","41181"
"903","562","41162"
"904","563","41167"
"905","564","41163"
"906","565","41166"
"908","566","41111"
"907","566","41165"
"909","567","41174"
"910","568","41116"
"911","569","41115"
"912","570","41164"
"913","571","41175"
"914","572","40552"
"915","573","40391"
"916","574","40561"
"917","575","40556"
"918","576","40562"
"919","577","40558"
"920","578","40554"
"921","579","40564"
"922","580","40551"
"923","581","40565"
"924","582","40553"
"925","583","40563"
"926","584","40562"
"927","585","40559"
"928","586","40566"
"929","587","40561"
"932","588","41211"
"931","588","41212"
"930","588","41213"
"933","588","41215"
"934","589","41272"
"935","590","41253"
"936","591","41259"
"937","592","41256"
"938","593","41285"
"939","594","41286"
"940","595","41283"
"941","596","41258"
"942","597","41281"
"943","598","41271"
"945","599","41251"
"944","599","41262"
"946","600","41254"
"947","601","41263"
"948","602","41261"
"949","603","41255"
"950","604","41282"
"951","605","41284"
"952","606","41253"
"953","607","41257"
"954","608","41254"
"956","609","41251"
"955","609","41252"
"957","610","41254"
"958","610","41256"
"960","611","41251"
"959","611","41281"
"961","612","41271"
"963","613","41281"
"962","613","41283"
"964","614","41252"
"965","615","41255"
"966","616","41282"
"967","617","41253"
"968","618","43211"
"971","618","43212"
"972","618","43213"
"973","618","43214"
"970","618","43215"
"969","618","43216"
"974","619","43273"
"975","620","43283"
"976","621","43263"
"977","622","43262"
"978","623","43271"
"979","624","43275"
"980","625","43291"
"981","626","43285"
"982","627","43282"
"983","628","43252"
"984","629","43268"
"985","630","43281"
"986","631","43292"
"987","632","43274"
"988","633","43253"
"989","633","43281"
"990","634","43266"
"991","635","43272"
"992","636","43284"
"993","637","43264"
"994","638","43254"
"995","639","43265"
"996","640","43267"
"997","641","43261"
"998","642","43253"
"999","643","43269"
"1000","644","43284"
"1001","645","43284"
"1002","646","43261"
"1003","647","43273"
"1005","648","43282"
"1004","648","43283"
"1007","649","43266"
"1006","649","43267"
"1008","650","17151"
"1010","650","17152"
"1009","650","17153"
"1011","650","17154"
"1015","651","17133"
"1012","651","17134"
"1016","651","17135"
"1013","651","17136"
"1014","651","17145"
"1020","652","17141"
"1019","652","17144"
"1017","652","17146"
"1018","652","17147"
"1021","652","17148"
"1022","653","17111"
"1023","653","17112"
"1024","653","17113"
"1030","654","17121"
"1029","654","17122"
"1025","654","17123"
"1026","654","17124"
"1027","654","17125"
"1028","654","17142"
"1033","655","17421"
"1031","655","17422"
"1032","655","17423"
"1035","655","17424"
"1034","655","17425"
"1036","655","17426"
"1040","656","17432"
"1038","656","17433"
"1039","656","17434"
"1037","656","17435"
"1044","657","17131"
"1043","657","17132"
"1042","657","17133"
"1041","657","17143"
"1045","658","17155"
"1048","658","17156"
"1047","658","17157"
"1046","658","17158"
"1050","659","17411"
"1049","659","17412"
"1051","659","17413"
